Month,Demand
220102,50
220109,45
220116,40
220123,30
220130,33
220206,28
220213,22
220220,23
220227,19
220306,16
220313,11
220320,12
220327,9
220403,7
220410,7
220417,5
220424,6
220501,6
220508,5
220515,6
220522,5
220529,4
220605,6
220612,5
220619,5
220626,5
220703,5
220710,4
220717,5
220724,5
220731,6
220807,6
220814,6
220821,8
220828,8
220904,9
220911,11
220918,11
220925,12
221002,17
221009,35
221016,43
221023,43
221030,49
221106,54
221113,55
221120,49
221127,100
221204,82
221211,81
221218,85
221225,68
